yemeni_textual_number,numerical_value
ثلاثه الف واربعميه,3400
ثلاث الاف واربعميه,3400
ثلاثه الف واربعمائه,3400
ثلاث الاف واربعمائه,3400
ثلاثه الف وخمسميه,3500
ثلاث الاف وخمسميه,3500
ثلاثه الف وخمسمائه,3500
ثلاث الاف وخمسمائه,3500
ثلاثه الف وستميه,3600
ثلاث الاف وستميه,3600
ثلاثه الف وستمائه,3600
ثلاث الاف وستمائه,3600
ثلاثه الف وسبعميه,3700
ثلاث الاف وسبعميه,3700
ثلاثه الف وسبعمائه,3700
ثلاث الاف وسبعمائه,3700
ثلاثه الف وثمانميه,3800
ثلاث الاف وثمانميه,3800
ثلاثه الف وثمانمائه,3800
ثلاث الاف وثمانمائه,3800
ثلاثه الف وتسعميه,3900
ثلاث الاف وتسعميه,3900
ثلاثه الف وتسعمائه,3900
ثلاث الاف وتسعمائه,3900
اربعه الف,4000
اربع الاف,4000
اربعه الف وميه,4100
اربع الاف وميه,4100
اربعه الف ومائه,4100
اربع الاف ومائه,4100
اربعه الف ومائة,4100
اربع الاف ومائة,4100
اربعه الف وميتين,4200
اربع الاف وميتين,4200
اربعه الف ومائتين,4200
اربع الاف ومائتين,4200
اربعه الف ومئتين,4200
اربع الاف ومئتين,4200
اربعه الف وثلاثميه,4300
اربع الاف وثلاثميه,4300
اربعه الف وثلاثمائه,4300
اربع الاف وثلاثمائه,4300
اربعه الف واربعميه,4400
اربع الاف واربعميه,4400
اربعه الف واربعمائه,4400
اربع الاف واربعمائه,4400
اربعه الف وخمسميه,4500
اربع الاف وخمسميه,4500
اربعه الف وخمسمائه,4500
اربع الاف وخمسمائه,4500
اربعه الف وخمس,4500
اربع الاف وخمس,4500
اربعه الف ونص,4500
اربع الاف ونص,4500
اربعه الف وستميه,4600
اربع الاف وستميه,4600
اربعه الف وستمائه,4600
اربع الاف وستمائه,4600
اربعه الف وسبعميه,4700
اربع الاف وسبعميه,4700
اربعه الف وسبعمائه,4700
اربع الاف وسبعمائه,4700
اربعه الف وثمانميه,4800
اربع الاف وثمانميه,4800
اربعه الف وثمانمائه,4800
اربع الاف وثمانمائه,4800
اربعه الف وتسعميه,4900
اربع الاف وتسعميه,4900
اربعه الف وتسعمائه,4900
اربع الاف وتسعمائه,4900
خمسه الف,5000
خمس الاف,5000
خمسه الف وميه,5100
خمس الاف وميه,5100
خمسه الف ومائه,5100
خمس الاف ومائه,5100
خمسه الف ومائة,5100
خمس الاف ومائة,5100
خمسه الف وميتين,5200
خمس الاف وميتين,5200
خمسه الف ومائتين,5200
خمس الاف ومائتين,5200
خمسه الف ومئتين,5200
خمس الاف ومئتين,5200
خمسه الف وثلاثميه,5300
خمس الاف وثلاثميه,5300
خمسه الف وثلاثمائه,5300
خمس الاف وثلاثمائه,5300
خمسه الف واربعميه,5400
خمس الاف واربعميه,5400
خمسه الف واربعمائه,5400
خمس الاف واربعمائه,5400
خمسه الف وخمسميه,5500
خمس الاف وخمسميه,5500
خمسه الف وخمسمائه,5500
خمس الاف وخمسمائه,5500
خمسه الف وخمس,5500
خمس الاف وخمس,5500
خمسه الف ونص,5500
خمس الاف ونص,5500
خمسه الف وستميه,5600
خمس الاف وستميه,5600
خمسه الف وستمائه,5600
خمس الاف وستمائه,5600
خمسه الف وسبعميه,5700
خمس الاف وسبعميه,5700
خمسه الف وسبعمائه,5700
خمس الاف وسبعمائه,5700
خمسه الف وثمانميه,5800
خمس الاف وثمانميه,5800
خمسه الف وثمانمائه,5800
