yemeni_textual_number,numerical_value
ثلاث عشر الف وتسع مائه,13900
اربعه عشر الف,14000
اربع عشر الف,14000
اربعه عشر الف وميه,14100
اربع عشر الف وميه,14100
اربعه عشر الف ومائه,14100
اربع عشر الف ومائه,14100
اربعه عشر الف ومائة,14100
اربع عشر الف ومائة,14100
اربعه عشر الف وميتين,14200
اربع عشر الف وميتين,14200
اربعه عشر الف ومائتين,14200
اربع عشر الف ومائتين,14200
اربعه عشر الف ومئتين,14200
اربع عشر الف ومئتين,14200
اربعه عشر الف وثلاثميه,14300
اربع عشر الف وثلاثميه,14300
اربعه عشر الف وثلاث ميه,14300
اربع عشر الف وثلاث ميه,14300
اربعه عشر الف وثلاثمائه,14300
اربع عشر الف وثلاثمائه,14300
اربعه عشر الف وثلاث مائه,14300
اربع عشر الف وثلاث مائه,14300
اربعه عشر الف واربعميه,14400
اربع عشر الف واربعميه,14400
اربعه عشر الف واربع ميه,14400
اربع عشر الف واربع ميه,14400
اربعه عشر الف واربعمائه,14400
اربع عشر الف واربعمائه,14400
اربعه عشر الف واربع مائه,14400
اربع عشر الف واربع مائه,14400
اربعه عشر الف وخمسميه,14500
اربع عشر الف وخمسميه,14500
اربعه عشر الف وخمس ميه,14500
اربع عشر الف وخمس ميه,14500
اربعه عشر الف وخمسمائه,14500
اربع عشر الف وخمسمائه,14500
اربعه عشر الف وخمس مائه,14500
اربع عشر الف وخمس مائه,14500
اربعه عشر الف وستميه,14600
اربع عشر الف وستميه,14600
اربعه عشر الف وست ميه,14600
اربع عشر الف وست ميه,14600
اربعه عشر الف وستمائه,14600
اربع عشر الف وستمائه,14600
اربعه عشر الف وست مائه,14600
اربع عشر الف وست مائه,14600
اربعه عشر الف وسبعميه,14700
اربع عشر الف وسبعميه,14700
اربعه عشر الف وسبع ميه,14700
اربع عشر الف وسبع ميه,14700
اربعه عشر الف وسبعمائه,14700
اربع عشر الف وسبعمائه,14700
اربعه عشر الف وسبع مائه,14700
اربع عشر الف وسبع مائه,14700
اربعه عشر الف وثمانميه,14800
اربع عشر الف وثمانميه,14800
اربعه عشر الف وثمان ميه,14800
اربع عشر الف وثمان ميه,14800
اربعه عشر الف وثمانمائه,14800
اربع عشر الف وثمانمائه,14800
اربعه عشر الف وثمان مائه,14800
اربع عشر الف وثمان مائه,14800
اربعه عشر الف وتسعميه,14900
arبع عشر الف وتسعميه,14900
اربعه عشر الف وتسع ميه,14900
اربع عشر الف وتسع ميه,14900
اربعه عشر الف وتسعمائه,14900
اربع عشر الف وتسعمائه,14900
اربعه عشر الف وتسع مائه,14900
اربع عشر الف وتسع مائه,14900
خمسه عشر الف,15000
خمس عشر الف,15000
خمسه عشر الف وميه,15100
خمس عشر الف وميه,15100
خمسه عشر الف ومائه,15100
خمس عشر الف ومائه,15100
خمسه عشر الف ومائة,15100
خمس عشر الف ومائة,15100
خمسه عشر الف وميتين,15200
خمس عشر الف وميتين,15200
خمسه عشر الف ومائتين,15200
خمس عشر الف ومائتين,15200
خمسه عشر الف ومئتين,15200
خمس عشر الف ومئتين,15200
خمسه عشر الف وثلاثميه,15300
خمس عشر الف وثلاثميه,15300
خمسه عشر الف وثلاث ميه,15300
خمس عشر الف وثلاث ميه,15300
خمسه عشر الف وثلاثمائه,15300
خمس عشر الف وثلاثمائه,15300
خمسه عشر الف وثلاث مائه,15300
خمس عشر الف وثلاث مائه,15300
خمسه عشر الف واربعميه,15400
خمس عشر الف واربعميه,15400
خمسه عشر الف واربع ميه,15400
خمس عشر الف واربع ميه,15400
خمسه عشر الف واربعمائه,15400
خمس عشر الف واربعمائه,15400
خمسه عشر الف واربع مائه,15400
خمس عشر الف واربع مائه,15400
خمسه عشر الف وخمسميه,15500
خمس عشر الف وخمسميه,15500
خمسه عشر الف وخمس ميه,15500
خمس عشر الف وخمس ميه,15500
خمسه عشر الف وخمسمائه,15500
خمس عشر الف وخمسمائه,15500
خمسه عشر الف وخمس مائه,15500
خمس عشر الف وخمس مائه,15500
خمسه عشر الف وستميه,15600
خمس عشر الف وستميه,15600
خمسه عشر الف وست ميه,15600
خمس عشر الف وست ميه,15600
خمسه عشر الف وستمائه,15600
خمس عشر الف وستمائه,15600
خمسه عشر الف وست مائه,15600
خمس عشر الف وست مائه,15600
خمسه عشر الف وسبعميه,15700
خمس عشر الف وسبعميه,15700
خمسه عشر الف وسبع ميه,15700
خمس عشر الف وسبع ميه,15700
خمسه عشر الف وسبعمائه,15700
خمس عشر الف وسبعمائه,15700
خمسه عشر الف وسبع مائه,15700
خمس عشر الف وسبع مائه,15700
خمسه عشر الف وثمانميه,15800
خمس عشر الف وثمانميه,15800
خمسه عشر الف وثمان ميه,15800
خمس عشر الف وثمان ميه,15800
خمسه عشر الف وثمانمائه,15800
خمس عشر الف وثمانمائه,15800
خمسه عشر الف وثمان مائه,15800
خمس عشر الف وثمان مائه,15800
خمسه عشر الف وتسعميه,15900
خمس عشر الف وتسعميه,15900
خمسه عشر الف وتسع ميه,15900
خمس عشر الف وتسع ميه,15900
خمسه عشر الف وتسعمائه,15900
خمس عشر الف وتسعمائه,15900
خمسه عشر الف وتسع مائه,15900
خمس عشر الف وتسع مائه,15900
سته عشر الف,16000
ست عشر الف,16000
سته عشر الف وميه,16100
ست عشر الف وميه,16100
سته عشر الف ومائه,16100
ست عشر الف ومائه,16100
سته عشر الف ومائة,16100
ست عشر الف ومائة,16100
سته عشر الف وميتين,16200
ست عشر الف وميتين,16200
سته عشر الف ومائتين,16200
ست عشر الف ومائتين,16200
سته عشر الف ومئتين,16200
ست عشر الف ومئتين,16200
سته عشر الف وثلاثميه,16300
ست عشر الف وثلاثميه,16300
سته عشر الف وثلاث ميه,16300
ست عشر الف وثلاث ميه,16300
سته عشر الف وثلاثمائه,16300
ست عشر الف وثلاثمائه,16300
سته عشر الف وثلاث مائه,16300
ست عشر الف وثلاث مائه,16300
سته عشر الف واربعميه,16400
ست عشر الف واربعميه,16400
سته عشر الف واربع ميه,16400
ست عشر الف واربع ميه,16400
سته عشر الف واربعمائه,16400
ست عشر الف واربعمائه,16400
سته عشر الف واربع مائه,16400
ست عشر الف واربع مائه,16400
سته عشر الف وخمسميه,16500
ست عشر الف وخمسميه,16500
سته عشر الف وخمس ميه,16500
ست عشر الف وخمس ميه,16500
سته عشر الف وخمسمائه,16500
ست عشر الف وخمسمائه,16500
سته عشر الف وخمس مائه,16500
ست عشر الف وخمس مائه,16500
سته عشر الف وستميه,16600
ست عشر الف وستميه,16600
سته عشر الف وست ميه,16600
ست عشر الف وست ميه,16600
سته عشر الف وستمائه,16600
ست عشر الف وستمائه,16600
سته عشر الف وست مائه,16600
ست عشر الف وست مائه,16600
سته عشر الف وسبعميه,16700
ست عشر الف وسبعميه,16700
سته عشر الف وسبع ميه,16700
ست عشر الف وسبع ميه,16700
سته عشر الف وسبعمائه,16700
ست عشر الف وسبعمائه,16700
سته عشر الف وسبع مائه,16700
ست عشر الف وسبع مائه,16700
سته عشر الف وثمانميه,16800
ست عشر الف وثمانميه,16800
سته عشر الف وثمان ميه,16800
ست عشر الف وثمان ميه,16800
سته عشر الف وثمانمائه,16800
ست عشر الف وثمانمائه,16800
سته عشر الف وثمان مائه,16800
ست عشر الف وثمان مائه,16800
سته عشر الف وتسعميه,16900
ست عشر الف وتسعميه,16900
سته عشر الف وتسع ميه,16900
ست عشر الف وتسع ميه,16900
سته عشر الف وتسعمائه,16900
ست عشر الف وتسعمائه,16900
سته عشر الف وتسع مائه,16900
ست عشر الف وتسع مائه,16900
سبعه عشر الف,17000
سبع عشر الف,17000
سبعه عشر الف وميه,17100
سبع عشر الف وميه,17100
سبعه عشر الف ومائه,17100
سبع عشر الف ومائه,17100
سبعه عشر الف ومائة,17100
سبع عشر الف ومائة,17100
سبعه عشر الف وميتين,17200
سبع عشر الف وميتين,17200
سبعه عشر الف ومائتين,17200
سبع عشر الف ومائتين,17200
سبعه عشر الف ومئتين,17200
سبع عشر الف ومئتين,17200
سبعه عشر الف وثلاثميه,17300
سبع عشر الف وثلاثميه,17300
سبعه عشر الف وثلاث ميه,17300
سبع عشر الف وثلاث ميه,17300
سبعه عشر الف وثلاثمائه,17300
سبع عشر الف وثلاثمائه,17300
سبعه عشر الف وثلاث مائه,17300
سبع عشر الف وثلاث مائه,17300
سبعه عشر الف واربعميه,17400
سبع عشر الف واربعميه,17400
سبعه عشر الف واربع ميه,17400
سبع عشر الف واربع ميه,17400
سبعه عشر الف واربعمائه,17400
سبع عشر الف واربعمائه,17400
سبعه عشر الف واربع مائه,17400
سبع عشر الف واربع مائه,17400
سبعه عشر الف وخمسميه,17500
سبع عشر الف وخمسميه,17500
سبعه عشر الف وخمس ميه,17500
سبع عشر الف وخمس ميه,17500
سبعه عشر الف وخمسمائه,17500
سبع عشر الف وخمسمائه,17500
سبعه عشر الف وخمس مائه,17500
سبع عشر الف وخمس مائه,17500
سبعه عشر الف وستميه,17600
سبع عشر الف وستميه,17600
سبعه عشر الف وست ميه,17600
سبع عشر الف وست ميه,17600
سبعه عشر الف وستمائه,17600
سبع عشر الف وستمائه,17600
سبعه عشر الف وست مائه,17600
سبع عشر الف وست مائه,17600
سبعه عشر الف وسبعميه,17700
سبع عشر الف وسبعميه,17700
سبعه عشر الف وسبع ميه,17700
سبع عشر الف وسبع ميه,17700
سبعه عشر الف وسبعمائه,17700
سبع عشر الف وسبعمائه,17700
سبعه عشر الف وسبع مائه,17700
سبع عشر الف وسبع مائه,17700
سبعه عشر الف وثمانميه,17800
سبع عشر الف وثمانميه,17800
سبعه عشر الف وثمان ميه,17800
سبع عشر الف وثمان ميه,17800
سبعه عشر الف وثمانمائه,17800
سبع عشر الف وثمانمائه,17800
سبعه عشر الف وثمان مائه,17800
سبع عشر الف وثمان مائه,17800
سبعه عشر الف وتسعميه,17900
سبع عشر الف وتسعميه,17900
سبعه عشر الف وتسع ميه,17900
سبع عشر الف وتسع ميه,17900
سبعه عشر الف وتسعمائه,17900
سبع عشر الف وتسعمائه,17900
سبعه عشر الف وتسع مائه,17900
سبع عشر الف وتسع مائه,17900
ثمانيه عشر الف,18000
ثمان عشر الف,18000
ثمانيه عشر الف وميه,18100
ثمان عشر الف وميه,18100
ثمانيه عشر الف ومائه,18100
ثمان عشر الف ومائه,18100
ثمانيه عشر الف ومائة,18100
ثمان عشر الف ومائة,18100
ثمانيه عشر الف وميتين,18200
ثمان عشر الف وميتين,18200
ثمانيه عشر الف ومائتين,18200
ثمان عشر الف ومائتين,18200
ثمانيه عشر الف ومئتين,18200
ثمان عشر الف ومئتين,18200
ثمانيه عشر الف وثلاثميه,18300
ثمان عشر الف وثلاثميه,18300
ثمانيه عشر الف وثلاث ميه,18300
ثمان عشر الف وثلاث ميه,18300
ثمانيه عشر الف وثلاثمائه,18300
ثمان عشر الف وثلاثمائه,18300
ثمانيه عشر الف وثلاث مائه,18300
ثمان عشر الف وثلاث مائه,18300
ثمانيه عشر الف واربعميه,18400
ثمان عشر الف واربعميه,18400
ثمانيه عشر الف واربع ميه,18400
ثمان عشر الف واربع ميه,18400
ثمانيه عشر الف واربعمائه,18400
ثمان عشر الف واربعمائه,18400
ثمانيه عشر الف واربع مائه,18400
ثمان عشر الف واربع مائه,18400
ثمانيه عشر الف وخمسميه,18500
ثمان عشر الف وخمسميه,18500
ثمانيه عشر الف وخمس ميه,18500
ثمان عشر الف وخمس ميه,18500
ثمانيه عشر الف وخمسمائه,18500
ثمان عشر الف وخمسمائه,18500
ثمانيه عشر الف وخمس مائه,18500
ثمان عشر الف وخمس مائه,18500
ثمانيه عشر الف وستميه,18600
ثمان عشر الف وستميه,18600
ثمانيه عشر الف وست ميه,18600
ثمان عشر الف وست ميه,18600
ثمانيه عشر الف وستمائه,18600
ثمان عشر الف وستمائه,18600
ثمانيه عشر الف وست مائه,18600
ثمان عشر الف وست مائه,18600
ثمانيه عشر الف وسبعميه,18700
ثمان عشر الف وسبعميه,18700
ثمانيه عشر الف وسبع ميه,18700
ثمان عشر الف وسبع ميه,18700
ثمانيه عشر الف وسبعمائه,18700
ثمان عشر الف وسبعمائه,18700
ثمانيه عشر الف وسبع مائه,18700
ثمان عشر الف وسبع مائه,18700
ثمانيه عشر الف وثمانميه,18800
ثمان عشر الف وثمانميه,18800
ثمانيه عشر الف وثمان ميه,18800
ثمان عشر الف وثمان ميه,18800
ثمانيه عشر الف وثمانمائه,18800
ثمان عشر الف وثمانمائه,18800
ثمانيه عشر الف وثمان مائه,18800
ثمان عشر الف وثمان مائه,18800
ثمانيه عشر الف وتسعميه,18900
ثمان عشر الف وتسعميه,18900
ثمانيه عشر الف وتسع ميه,18900
ثمان عشر الف وتسع ميه,18900
ثمانيه عشر الف وتسعمائه,18900
ثمان عشر الف وتسعمائه,18900
ثمانيه عشر الف وتسع مائه,18900
ثمان عشر الف وتسع مائه,18900
تسعه عشر الف,19000
تسع عشر الف,19000
تسعه عشر الف وميه,19100
تسع عشر الف وميه,19100
تسعه عشر الف ومائه,19100
تسع عشر الف ومائه,19100
تسعه عشر الف ومائة,19100
تسع عشر الف ومائة,19100
تسعه عشر الف وميتين,19200
تسع عشر الف وميتين,19200
تسعه عشر الف ومائتين,19200
تسع عشر الف ومائتين,19200
تسعه عشر الف ومئتين,19200
تسع عشر الف ومئتين,19200
تسعه عشر الف وثلاثميه,19300
تسع عشر الف وثلاثميه,19300
تسعه عشر الف وثلاث ميه,19300
تسع عشر الف وثلاث ميه,19300
تسعه عشر الف وثلاثمائه,19300
تسع عشر الف وثلاثمائه,19300
تسعه عشر الف وثلاث مائه,19300
تسع عشر الف وثلاث مائه,19300
تسعه عشر الف واربعميه,19400
تسع عشر الف واربعميه,19400
تسعه عشر الف واربع ميه,19400
تسع عشر الف واربع ميه,19400
تسعه عشر الف واربعمائه,19400
تسع عشر الف واربعمائه,19400
تسعه عشر الف واربع مائه,19400
تسع عشر الف واربع مائه,19400
تسعه عشر الف وخمسميه,19500
تسع عشر الف وخمسميه,19500
تسعه عشر الف وخمس ميه,19500
تسع عشر الف وخمس ميه,19500
تسعه عشر الف وخمسمائه,19500
تسع عشر الف وخمسمائه,19500
تسعه عشر الف وخمس مائه,19500
تسع عشر الف وخمس مائه,19500
تسعه عشر الف وستميه,19600
تسع عشر الف وستميه,19600
تسعه عشر الف وست ميه,19600
تسع عشر الف وست ميه,19600
تسعه عشر الف وستمائه,19600
تسع عشر الف وستمائه,19600
تسعه عشر الف وست مائه,19600
تسع عشر الف وست مائه,19600
تسعه عشر الف وسبعميه,19700
تسع عشر الف وسبعميه,19700
تسعه عشر الف وسبع ميه,19700
تسع عشر الف وسبع ميه,19700
تسعه عشر الف وسبعمائه,19700
تسع عشر الف وسبعمائه,19700
تسعه عشر الف وسبع مائه,19700
تسع عشر الف وسبع مائه,19700
تسعه عشر الف وثمانميه,19800
تسع عشر الف وثمانميه,19800
تسعه عشر الف وثمان ميه,19800
تسع عشر الف وثمان ميه,19800
تسعه عشر الف وثمانمائه,19800
تسع عشر الف وثمانمائه,19800
تسعه عشر الف وثمان مائه,19800
تسع عشر الف وثمان مائه,19800
تسعه عشر الف وتسعميه,19900
تسع عشر الف وتسعميه,19900
تسعه عشر الف وتسع ميه,19900
تسع عشر الف وتسع ميه,19900
تسعه عشر الف وتسعمائه,19900
تسع عشر الف وتسعمائه,19900
تسعه عشر الف وتسع مائه,19900
تسع عشر الف وتسع مائه,19900
عشرين الف,20000
عشرون الف,20000
عشرين الف وميه,20100
عشرون الف وميه,20100
عشرين الف ومائه,20100
عشرون الف ومائه,20100
عشرين الف ومائة,20100
عشرون الف ومائة,20100
عشرين الف وميتين,20200
عشرون الف وميتين,20200
عشرين الف ومائتين,20200
عشرون الف ومائتين,20200
عشرين الف ومئتين,20200
عشرون الف ومئتين,20200
عشرين الف وثلاثميه,20300
عشرون الف وثلاثميه,20300
عشرين الف وثلاث ميه,20300
عشرون الف وثلاث ميه,20300
عشرين الف وثلاثمائه,20300
عشرون الف وثلاثمائه,20300
عشرين الف وثلاث مائه,20300
عشرون الف وثلاث مائه,20300
عشرين الف واربعميه,20400
عشرون الف واربعميه,20400
عشرين الف واربع ميه,20400
عشرون الف واربع ميه,20400
عشرين الف واربعمائه,20400
عشرون الف واربعمائه,20400
عشرين الف واربع مائه,20400
عشرون الف واربع مائه,20400
عشرين الف وخمسميه,20500
عشرون الف وخمسميه,20500
عشرين الف وخمس ميه,20500
عشرون الف وخمس ميه,20500
عشرين الف وخمسمائه,20500
عشرون الف وخمسمائه,20500
عشرين الف وخمس مائه,20500
عشرون الف وخمس مائه,20500
عشرين الف وستميه,20600
عشرون الف وستميه,20600
عشرين الف وست ميه,20600
عشرون الف وست ميه,20600
عشرين الف وستمائه,20600
عشرون الف وستمائه,20600
عشرين الف وست مائه,20600
عشرون الف وست مائه,20600
عشرين الف وسبعميه,20700
عشرون الف وسبعميه,20700
عشرين الف وسبع ميه,20700
عشرون الف وسبع ميه,20700
عشرين الف وسبعمائه,20700
عشرون الف وسبعمائه,20700
عشرين الف وسبع مائه,20700
عشرون الف وسبع مائه,20700
عشرين الف وثمانميه,20800
عشرون الف وثمانميه,20800
عشرين الف وثمان ميه,20800
عشرون الف وثمان ميه,20800
عشرين الف وثمانمائه,20800
عشرون الف وثمانمائه,20800
عشرين الف وثمان مائه,20800
عشرون الف وثمان مائه,20800
عشرين الف وتسعميه,20900
عشرون الف وتسعميه,20900
عشرين الف وتسع ميه,20900
عشرون الف وتسع ميه,20900
عشرين الف وتسعمائه,20900
عشرون الف وتسعمائه,20900
عشرين الف وتسع مائه,20900
عشرون الف وتسع مائه,20900
واحد وعشرين الف,21000
واحد وعشرون الف,21000
احد وعشرين الف,21000
احد وعشرون الف,21000
واحد وعشرين الف وميه,21100
واحد وعشرون الف وميه,21100
احد وعشرين الف وميه,21100
احد وعشرون الف وميه,21100
واحد وعشرين الف ومائه,21100
واحد وعشرون الف ومائه,21100
احد وعشرين الف ومائه,21100
احد وعشرون الف ومائه,21100
واحد وعشرين الف ومائة,21100
واحد وعشرون الف ومائة,21100
احد وعشرين الف ومائة,21100
احد وعشرون الف ومائة,21100
واحد وعشرين الف وميتين,21200
واحد وعشرون الف وميتين,21200
احد وعشرين الف وميتين,21200
احد وعشرون الف وميتين,21200
واحد وعشرين الف ومائتين,21200
واحد وعشرون الف ومائتين,21200
احد وعشرين الف ومائتين,21200
احد وعشرون الف ومائتين,21200
واحد وعشرين الف ومئتين,21200
واحد وعشرون الف ومئتين,21200
احد وعشرين الف ومئتين,21200
احد وعشرون الف ومئتين,21200
واحد وعشرين الف وثلاثميه,21300
واحد وعشرون الف وثلاثميه,21300
احد وعشرين الف وثلاثميه,21300
احد وعشرون الف وثلاثميه,21300
واحد وعشرين الف وثلاث ميه,21300
واحد وعشرون الف وثلاث ميه,21300
احد وعشرين الف وثلاث ميه,21300
احد وعشرون الف وثلاث ميه,21300
واحد وعشرين الف وثلاثمائه,21300
واحد وعشرون الف وثلاثمائه,21300
احد وعشرين الف وثلاثمائه,21300
احد وعشرون الف وثلاثمائه,21300
واحد وعشرين الف وثلاث مائه,21300
واحد وعشرون الف وثلاث مائه,21300
احد وعشرين الف وثلاث مائه,21300
احد وعشرون الف وثلاث مائه,21300
واحد وعشرين الف واربعميه,21400
واحد وعشرون الف واربعميه,21400
احد وعشرين الف واربعميه,21400
احد وعشرون الف واربعميه,21400
واحد وعشرين الف واربع ميه,21400
واحد وعشرون الف واربع ميه,21400
احد وعشرين الف واربع ميه,21400
احد وعشرون الف واربع ميه,21400
واحد وعشرين الف واربعمائه,21400
واحد وعشرون الف واربعمائه,21400
احد وعشرين الف واربعمائه,21400
احد وعشرون الف واربعمائه,21400
واحد وعشرين الف واربع مائه,21400
واحد وعشرون الف واربع مائه,21400
احد وعشرين الف واربع مائه,21400
احد وعشرون الف واربع مائه,21400
واحد وعشرين الف وخمسميه,21500
واحد وعشرون الف وخمسميه,21500
احد وعشرين الف وخمسميه,21500
احد وعشرون الف وخمسميه,21500
واحد وعشرين الف وخمس ميه,21500
واحد وعشرون الف وخمس ميه,21500
احد وعشرين الف وخمس ميه,21500
احد وعشرون الف وخمس ميه,21500
واحد وعشرين الف وخمسمائه,21500
واحد وعشرون الف وخمسمائه,21500
احد وعشرين الف وخمسمائه,21500
احد وعشرون الف وخمسمائه,21500
واحد وعشرين الف وخمس مائه,21500
واحد وعشرون الف وخمس مائه,21500
احد وعشرين الف وخمس مائه,21500
احد وعشرون الف وخمس مائه,21500
واحد وعشرين الف وستميه,21600
واحد وعشرون الف وستميه,21600
احد وعشرين الف وستميه,21600
احد وعشرون الف وستميه,21600
واحد وعشرين الف وست ميه,21600
واحد وعشرون الف وست ميه,21600
احد وعشرين الف وست ميه,21600
احد وعشرون الف وست ميه,21600
واحد وعشرين الف وستمائه,21600
واحد وعشرون الف وستمائه,21600
احد وعشرين الف وستمائه,21600
احد وعشرون الف وستمائه,21600
واحد وعشرين الف وست مائه,21600
واحد وعشرون الف وست مائه,21600
احد وعشرين الف وست مائه,21600
احد وعشرون الف وست مائه,21600
واحد وعشرين الف وسبعميه,21700
واحد وعشرون الف وسبعميه,21700
احد وعشرين الف وسبعميه,21700
احد وعشرون الف وسبعميه,21700
واحد وعشرين الف وسبع ميه,21700
واحد وعشرون الف وسبع ميه,21700
احد وعشرين الف وسبع ميه,21700
احد وعشرون الف وسبع ميه,21700
واحد وعشرين الف وسبعمائه,21700
واحد وعشرون الف وسبعمائه,21700
احد وعشرين الف وسبعمائه,21700
احد وعشرون الف وسبعمائه,21700
واحد وعشرين الف وسبع مائه,21700
واحد وعشرون الف وسبع مائه,21700
احد وعشرين الف وسبع مائه,21700
احد وعشرون الف وسبع مائه,21700
واحد وعشرين الف وثمانميه,21800
واحد وعشرون الف وثمانميه,21800
احد وعشرين الف وثمانميه,21800
احد وعشرون الف وثمانميه,21800
واحد وعشرين الف وثمان ميه,21800
واحد وعشرون الف وثمان ميه,21800
احد وعشرين الف وثمان ميه,21800
احد وعشرون الف وثمان ميه,21800
واحد وعشرين الف وثمانمائه,21800
واحد وعشرون الف وثمانمائه,21800
احد وعشرين الف وثمانمائه,21800
احد وعشرون الف وثمانمائه,21800
واحد وعشرين الف وثمان مائه,21800
واحد وعشرون الف وثمان مائه,21800
احد وعشرين الف وثمان مائه,21800
احد وعشرون الف وثمان مائه,21800
واحد وعشرين الف وتسعميه,21900
واحد وعشرون الف وتسعميه,21900
احد وعشرين الف وتسعميه,21900
احد وعشرون الف وتسعميه,21900
واحد وعشرين الف وتسع ميه,21900
واحد وعشرون الف وتسع ميه,21900
احد وعشرين الف وتسع ميه,21900
احد وعشرون الف وتسع ميه,21900
واحد وعشرين الف وتسعمائه,21900
واحد وعشرون الف وتسعمائه,21900
احد وعشرين الف وتسعمائه,21900
احد وعشرون الف وتسعمائه,21900
واحد وعشرين الف وتسع مائه,21900
واحد وعشرون الف وتسع مائه,21900
احد وعشرين الف وتسع مائه,21900
احد وعشرون الف وتسع مائه,21900
